location,Excel,Excel,Excel,Excel,Excel,Excel,Excel
20200530T2300,25.713509,0.0,6.1503215,342.34988,26.65,14.83,6.65
20200531T0000,25.32351,0.0,7.8395867,350.2176,25.7,14.75,7.04
20200531T0100,24.753508,0.0,8.795236,358.2643,24.94,14.74,7.48
20200531T0200,23.793509,0.0,8.5248,360.0,24.04,14.8,7.91
20200531T0300,22.883509,0.0,8.262695,1.8475952,23.13,14.85,8.28
20200531T0400,22.133509,0.0,7.992,360.0,22.3,14.84,8.6
20200531T0500,21.463509,0.0,7.7256002,360.0,21.59,14.77,8.85
20200531T0600,20.803509,0.0,7.197732,2.1210938,20.95,14.61,9.07
20200531T0700,20.753508,0.0,6.9263997,360.0,20.34,14.35,9.49
20200531T0800,23.223509,0.0,8.03186,5.7105865,21.92,14.41,9.4
20200531T0900,25.563509,0.0,7.766828,5.906128,23.84,14.62,9.39
20200531T1000,27.293509,0.0,9.384694,353.4802,25.3,14.88,9.42
20200531T1100,28.373508,0.0,10.615965,342.47443,26.16,15.21,9.44
20200531T1200,29.32351,0.0,10.362241,342.03088,27.0,15.49,9.4
20200531T1300,30.043509,0.0,9.953526,344.4759,27.74,15.68,9.31
20200531T1400,30.713509,0.0,10.084568,347.79956,28.56,15.34,9.2
20200531T1500,31.003508,0.0,9.985559,350.789,29.09,15.61,9.09
20200531T1600,30.953508,0.0,10.154698,355.48602,29.46,15.76,9.01
20200531T1700,30.773508,0.0,10.389601,360.0,29.7,15.59,8.94
20200531T1800,30.163507,0.0,9.8604,1.5481567,29.56,15.59,8.9
20200531T1900,28.893509,0.0,7.743951,3.9451752,29.07,15.45,8.89
20200531T2000,27.533508,0.0,4.5366287,356.63354,28.01,15.48,9.17
20200531T2100,25.82351,0.0,4.861344,350.5377,26.87,15.68,9.2
20200531T2200,24.48351,0.0,5.8608,360.0,25.92,15.91,9.27
20200531T2300,23.373508,0.0,6.179102,7.431381,24.96,15.97,9.39
20200601T0000,22.863508,0.0,7.36826,12.528809,24.33,15.66,9.35
20200601T0100,22.463509,0.0,8.08909,17.241455,23.64,15.42,9.2
20200601T0200,22.203508,0.0,8.262696,20.772247,22.76,15.31,9.04
20200601T0300,21.813509,0.0,8.466325,24.145523,21.97,15.31,8.97
20200601T0400,21.07351,0.0,8.339639,26.565033,21.31,15.33,8.91
20200601T0500,20.523508,0.0,7.90719,32.619232,20.78,15.3,8.83
20200601T0600,20.103508,0.0,7.463956,34.824493,20.34,15.27,8.77
20200601T0700,20.993507,0.0,8.11974,41.009094,20.23,15.18,8.69
20200601T0800,23.343508,0.0,8.29698,47.602554,21.95,15.31,8.64
20200601T0900,25.953508,0.0,8.955162,59.620872,24.16,15.44,8.59
20200601T1000,28.253508,0.0,8.855546,68.83874,26.18,15.66,8.74
20200601T1100,30.07351,0.0,10.03165,79.28687,27.81,15.97,9.05
20200601T1200,31.32351,0.0,10.511835,81.25384,29.01,16.03,9.06
20200601T1300,32.28351,0.0,10.444103,84.143974,29.95,16.11,8.94
20200601T1400,33.03351,0.0,10.389601,89.99999,30.87,16.67,8.77
20200601T1500,33.403507,0.0,10.444103,95.85601,31.49,17.25,8.26
20200601T1600,33.473507,0.0,10.144211,103.6713,31.9,17.62,7.72
20200601T1700,33.153507,0.0,10.290077,111.2505,31.95,17.77,7.26
20200601T1800,32.52351,0.0,10.013947,118.61046,31.74,17.7,7.03
20200601T1900,31.293509,0.0,8.951199,126.528854,31.24,17.45,6.72
20200601T2000,29.453508,0.0,5.334656,87.137596,29.71,16.91,6.88
20200601T2100,28.23351,0.0,6.399148,87.61405,28.33,16.51,7.48
20200601T2200,27.253508,0.0,7.0078893,98.74616,27.18,16.18,8.14
20200601T2300,26.353508,0.0,8.014169,105.42216,26.38,16.12,8.8
20200602T0000,25.763508,0.0,8.855546,111.161255,25.93,16.07,8.74
20200602T0100,25.343508,0.0,9.061517,114.30454,25.48,15.86,8.71
20200602T0200,24.863508,0.0,9.174376,115.82099,24.98,15.66,8.81
20200602T0300,24.383509,0.0,8.819409,115.01689,24.49,15.58,9.01
20200602T0400,23.383509,0.0,8.360888,112.47943,23.78,15.53,9.02
20200602T0500,22.593508,0.0,8.512303,110.1363,23.06,15.59,8.75
20200602T0600,21.943508,0.0,8.424308,108.434944,22.51,15.7,8.33
20200602T0700,23.793509,0.0,9.605188,109.44003,22.75,15.78,7.85
20200602T0800,25.533508,0.0,10.715772,124.87533,23.9,15.8,7.3
20200602T0900,26.863508,0.0,9.9997635,131.7603,24.81,15.75,6.84
20200602T1000,27.923508,0.0,9.0732565,139.76364,25.84,15.65,6.62
20200602T1100,27.713509,0.0,7.544342,137.8624,26.3,15.76,6.84
20200602T1200,27.993507,0.0,7.1581836,135.0,26.5,15.76,7.08
20200602T1300,27.993507,0.0,7.544342,132.13759,26.56,15.49,7.27
20200602T1400,27.753508,0.0,8.11974,138.9909,26.49,15.22,7.2
20200602T1500,26.963509,0.3,7.996438,150.01836,26.36,15.43,7.13
20200602T1600,26.723509,0.4,7.920641,160.34618,26.17,15.58,7.12
20200602T1700,26.73351,0.3,8.411661,169.04593,26.02,15.65,7.19
20200602T1800,26.113508,0.2,8.00974,176.18593,25.72,15.69,7.24
20200602T1900,25.57351,0.0,7.1928,180.0,25.42,15.72,7.19
20200602T2000,24.953508,0.0,3.4115846,141.34018,24.94,15.87,7.23
20200602T2100,24.423508,0.0,3.013972,135.0,24.59,16.03,7.5
20200602T2200,23.873508,0.0,2.8318708,131.18591,24.41,16.19,7.91
20200602T2300,23.783508,0.0,3.207881,131.63353,24.31,16.27,8.24
20200603T0000,23.57351,0.0,3.4115846,141.34018,24.09,16.07,7.79
20200603T0100,23.373508,0.0,3.4632,157.38013,23.86,15.98,7.54
20200603T0200,22.953508,0.0,3.0374272,164.74487,23.59,15.9,7.39
20200603T0300,22.543509,0.0,2.2761226,159.44395,23.31,15.73,7.06
20200603T0400,22.413507,0.0,1.1302395,135.0,23.06,15.65,6.89
20200603T0500,22.173508,0.0,1.5984001,89.99999,22.95,15.63,6.85
20200603T0600,22.063509,0.0,2.1312,89.99999,22.88,15.58,6.8
20200603T0700,23.913507,0.0,0.84243083,108.434944,23.07,15.51,6.71
20200603T0800,24.423508,0.5,1.6204481,80.537674,23.95,15.34,6.37
20200603T0900,26.053509,0.1,1.9210378,123.69006,24.82,15.63,6.38
20200603T1000,27.843508,0.0,3.1968002,180.0,26.3,15.67,6.52
20200603T1100,29.683508,0.0,4.5366287,176.63354,27.81,15.3,6.68
20200603T1200,30.293509,0.0,6.2191706,170.13419,28.4,14.83,6.75
20200603T1300,28.633509,0.0,7.1928,180.0,28.03,14.57,6.25
20200603T1400,28.083508,0.5,7.920641,199.65382,27.61,14.5,6.04
20200603T1500,27.443508,0.4,8.275568,213.17851,27.24,14.63,6.11
20200603T1600,26.90351,0.5,7.920641,222.2737,26.86,14.73,6.21
20200603T1700,26.633509,0.6,6.972355,223.45184,26.49,14.86,6.28
20200603T1800,25.973509,0.6,6.415762,221.63354,26.08,14.95,6.3
20200603T1900,25.543509,0.0,5.328,216.8699,25.67,14.96,6.19
20200603T2000,24.843508,0.0,3.4734309,184.39871,25.06,15.34,5.93
20200603T2100,24.313509,0.0,3.5039446,188.74615,24.56,15.77,5.85
20200603T2200,23.753508,0.0,3.767465,188.1301,24.14,16.11,5.85
20200603T2300,23.363508,0.0,3.554219,192.99461,23.72,16.35,5.91
20200604T0000,22.533508,0.0,3.554219,192.99461,23.29,16.29,5.94
20200604T0100,21.963509,0.0,3.4734309,175.60129,22.72,16.25,5.97
20200604T0200,21.443508,0.0,3.554219,167.00539,22.28,16.13,5.92
20200604T0300,21.013508,0.0,3.4734309,175.60129,21.91,15.84,5.72
20200604T0400,20.623508,0.0,3.1968002,180.0,21.41,15.48,5.36
20200604T0500,20.543509,0.0,2.664,180.0,20.83,15.19,5.16
20200604T0600,20.493507,0.0,1.8837326,171.8699,20.44,15.05,5.04
20200604T0700,21.363508,0.0,0.79920006,180.0,20.77,15.02,5.09
20200604T0800,24.603508,0.0,0.5328,270.0,23.63,15.02,5.27
20200604T0900,26.333508,0.0,2.1312,270.0,25.08,14.93,5.5
20200604T1000,27.40351,0.0,2.1477854,277.125,26.07,14.8,5.54
20200604T1100,26.65351,0.0,2.1312,270.0,26.25,14.75,5.6
20200604T1200,27.383509,0.2,2.382754,206.56505,26.74,14.76,6.11
20200604T1300,27.283508,0.2,4.295571,187.12502,26.82,14.79,6.35
20200604T1400,27.883509,0.0,5.8849683,185.19443,27.11,14.92,6.62
20200604T1500,27.603508,0.2,6.8491225,193.49573,27.17,15.07,6.91
20200604T1600,27.373508,0.2,7.670285,200.32314,27.17,15.29,7.14
20200604T1700,27.433508,0.2,8.172013,199.0256,27.04,15.53,7.27
20200604T1800,26.603508,0.0,8.014169,201.44774,26.63,15.73,7.45
20200604T1900,25.893509,0.0,7.1730394,201.8014,26.12,15.82,7.4
20200604T2000,25.203508,0.0,5.9150395,187.76517,25.37,16.06,7.3
20200604T2100,24.763508,0.0,6.744709,189.09027,24.92,16.21,7.27
20200604T2200,24.283508,0.0,7.108438,192.99461,24.47,16.27,7.21
20200604T2300,24.033508,0.0,6.6600003,196.26021,24.15,16.29,7.19
20200605T0000,23.603508,0.0,6.5795946,201.37062,23.73,16.28,7.27
20200605T0100,23.123508,0.0,6.0865254,203.1986,23.28,16.31,7.39
20200605T0200,22.473509,0.0,4.802594,213.69006,22.8,16.36,7.4
20200605T0300,21.663507,0.0,3.9603205,222.2737,22.27,16.41,7.32
20200605T0400,21.163507,0.0,3.5840454,221.98721,21.88,16.45,7.2
20200605T0500,20.863508,0.0,2.8318708,228.81409,21.69,16.45,7.09
20200605T0600,20.613508,0.0,2.5272923,198.43495,21.57,16.4,6.94
20200605T0700,22.523508,0.0,2.1477854,209.74489,22.21,16.33,6.82
20200605T0800,25.243507,0.0,1.7057923,231.3402,24.19,16.42,6.78
20200605T0900,27.163507,0.1,2.4560866,229.39871,25.76,16.38,6.64
20200605T1000,27.013508,0.3,3.7105224,201.0375,26.52,15.99,6.65
20200605T1100,27.413507,0.4,3.6234317,216.02737,26.97,15.67,6.85
20200605T1200,27.98351,0.0,2.1477854,209.74489,27.34,15.8,7.11
20200605T1300,30.333508,0.0,2.1312,180.0,28.44,15.79,7.26
20200605T1400,29.57351,0.0,3.7105224,158.9625,28.57,15.71,7.23
20200605T1500,29.193508,0.0,5.8182635,164.0546,28.84,16.02,7.68
20200605T1600,30.963509,0.0,7.53493,171.8699,29.65,16.43,8.03
20200605T1700,30.963509,0.0,8.262695,178.15239,29.94,16.28,8.23
20200605T1800,30.383509,0.0,8.262695,181.84761,29.84,16.3,8.3
20200605T1900,29.303509,0.0,7.4782047,184.08562,29.34,16.31,8.36
20200605T2000,27.73351,0.0,4.802594,183.17982,27.92,16.59,8.19
20200605T2100,26.65351,0.0,5.9150395,187.76517,26.79,16.84,7.93
20200605T2200,25.743507,0.0,6.791894,191.30994,25.88,17.12,7.85
20200605T2300,25.083508,0.0,7.0078893,188.74615,25.19,17.42,7.96
20200606T0000,24.533508,0.0,6.443357,187.12502,24.67,17.47,7.97
20200606T0100,23.803509,0.0,4.5366287,183.36646,24.13,17.38,7.89
20200606T0200,22.98351,0.0,3.4631999,180.0,23.59,17.09,7.63
20200606T0300,22.48351,0.0,2.9424841,174.80557,23.1,16.68,7.26
20200606T0400,22.053509,0.0,2.742756,150.94539,22.7,16.28,6.96
20200606T0500,21.723509,0.0,3.207881,131.63353,22.41,15.95,6.75
20200606T0600,21.693508,0.0,3.0374274,127.874985,22.41,15.72,6.66
20200606T0700,23.603508,0.0,3.5840454,138.01279,23.11,15.61,6.67
20200606T0800,25.583508,0.0,5.8668513,92.602554,24.68,15.74,7.01
20200606T0900,26.203508,0.1,8.115368,113.19859,25.36,15.91,7.16
20200606T1000,27.613508,0.0,10.283178,126.57303,26.6,15.99,7.28
20200606T1100,29.32351,0.0,11.904831,130.46222,27.9,15.93,7.5
20200606T1200,28.253508,0.0,12.656102,130.7321,27.86,15.65,7.73
20200606T1300,28.063509,0.0,13.271961,128.4802,27.37,15.39,7.85
20200606T1400,27.07351,0.0,12.947149,126.63411,26.59,15.63,7.77
20200606T1500,26.373508,0.0,11.895886,124.04593,26.06,15.67,7.74
20200606T1600,25.473509,0.0,11.204646,118.39302,25.34,15.67,7.8
20200606T1700,25.363508,0.0,11.229953,112.306206,25.26,15.62,7.81
20200606T1800,26.143509,0.0,11.8240795,104.34933,25.87,16.09,8.18
20200606T1900,25.943508,0.0,11.869009,99.03948,25.97,16.36,8.28
20200606T2000,25.40351,0.0,11.769937,95.19443,25.71,16.59,8.44
20200606T2100,25.043509,0.0,12.54628,93.65222,25.29,16.99,8.67
20200606T2200,24.563509,0.0,13.8937235,94.398705,24.8,17.32,8.7
20200606T2300,24.053509,0.0,14.977747,95.10216,24.23,17.46,8.6
